"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
232,,-5.4205120e-3,MOSI,2,0x8800,OK
233,,-5.4205120e-3,MISO,2,0x0004,OK
234,,-5.2375104e-3,MOSI,2,0x8800,OK
235,,-5.2375104e-3,MISO,2,0x0004,OK
236,,-5.2180160e-3,MOSI,2,0x8800,OK
237,,-5.2180160e-3,MISO,2,0x0004,OK
238,,-5.1985152e-3,MOSI,2,0x8800,OK
239,,-5.1985152e-3,MISO,2,0x0004,OK
240,,-5.1790144e-3,MOSI,2,0x8800,OK
241,,-5.1790144e-3,MISO,2,0x0004,OK
242,,-5.1595136e-3,MOSI,2,0x8800,OK
243,,-5.1595136e-3,MISO,2,0x0004,OK
244,,-5.1400128e-3,MOSI,2,0x8800,OK
245,,-5.1400128e-3,MISO,2,0x0004,OK
246,,-5.1205120e-3,MOSI,2,0x8800,OK
247,,-5.1205120e-3,MISO,2,0x0004,OK
248,,-5.1010112e-3,MOSI,2,0x8800,OK
249,,-5.1010112e-3,MISO,2,0x0004,OK
250,,-5.0815104e-3,MOSI,2,0x8800,OK
251,,-5.0815104e-3,MISO,2,0x0004,OK
252,,-5.0620160e-3,MOSI,2,0x8800,OK
253,,-5.0620160e-3,MISO,2,0x0004,OK
254,,-5.0425152e-3,MOSI,2,0x8800,OK
255,,-5.0425152e-3,MISO,2,0x0004,OK
256,,-5.0230144e-3,MOSI,2,0x8800,OK
257,,-5.0230144e-3,MISO,2,0x0004,OK
258,,-5.0035136e-3,MOSI,2,0x8800,OK
259,,-5.0035136e-3,MISO,2,0x0004,OK
260,,-4.9840128e-3,MOSI,2,0x8800,OK
261,,-4.9840128e-3,MISO,2,0x0004,OK
262,,-4.9645120e-3,MOSI,2,0x8800,OK
263,,-4.9645120e-3,MISO,2,0x0004,OK
264,,-4.9450112e-3,MOSI,2,0x8800,OK
